model	dataset	trained	restarts	bs	target_id	optim	cost_fn	tv	psnr_mean	mse_mean	ssim_mean	psnr_std	mse_std	ssim_std
alexnet	cifar10	random	10	1	26	geiping	sim	0.0001	12.780783131657586	0.05271347984671593	0.6518172829680973	0.0	0.0	0.0
alexnet	cifar10	random	10	4	26	geiping	sim	0.0001	12.939592406504328	0.05552494851872325	0.4994416172326762	1.9359075901837648	0.020989006884519032	0.08096286835072256
alexnet	imagenet	random	10	1	26	LBFGS	sim	0.0001	23.633721594355258	0.004331395495682955	0.9082411651840245	0.0	0.0	0.0
alexnet	imagenet	random	10	1	26	geiping	sim	0.0001	15.259321978234016	0.029789814725518227	0.5071117146574182	0.0	0.0	0.0
alexnet	imagenet	random	10	2	26	BN	sim	0.0001	15.83302902629945	0.02962459670379758	0.6098568592029937	2.2311577968645233	0.014008182566612959	0.16158913178033874
lenet	mnist	random	10	4	26	geiping	sim	0.0001	10.33171711002093	0.0958813140168786	0.3422642741257612	1.1823521071008876	0.02329607350096324	0.11520230188097673
enet	mnist	random	10	4	26	gaussian	sim	0.0001	5.897322008344414	0.2583860270678997	0.013706758282018514	0.4168960498399195	0.02479302183196879	0.02396032643638476
resnet	imagenet	random	10	4	26	GC	sim	0.0001	6.607396101906342	0.22037093713879585	0.2228430428400306	0.5813236940487694	0.029503406304916616	0.08448488625775395
resnet	imagenet	random	10	1	26	GC	sim	0.0001	4.539538683902235	0.35159778594970703	0.23387242275609324	0.0	0.0	0.0
resnet	imagenet	random	10	2	26	GC	sim	0.0001	12.329867078508922	0.05853801406919956	0.4883150796018463	0.19209464236797213	0.002587532624602318	0.03361143537107558
resnet	imagenet	random	10	8	26	GC	sim	0.0001	4.912976062762372	0.3415139149874449	0.1192661834211646	1.4843321011396462	0.11340730713895755	0.0835835886240177
resnet	imagenet	random	10	1	26	BN	sim	0.0001	11.049992286902155	0.07852370291948318	0.17873555887387374	0.0	0.0	0.0
resnet	imagenet	random	10	2	26	BN	sim	0.0001	10.595564460867433	0.08755859360098839	0.19555665398953465	0.4017116260386926	0.008075933903455734	0.02293743536073313
resnet	imagenet	random	10	4	26	BN	sim	0.0001	9.964564617896428	0.10187939554452896	0.19876523177388716	0.6272313392121343	0.014798054668554179	0.026541792819151554
resnet	imagenet	random	10	8	26	BN	sim	0.0001	9.533225566335384	0.11346052400767803	0.14320963432044828	0.8282172100967296	0.022761373740483672	0.01613418781051438
alexnet	cifar10	random	10	1	26	BN	sim	0.0001	23.856564153888435	0.004114751238375902	0.8306615337232749	0.0	0.0	0.0
alexnet	cifar10	random	10	2	26	BN	sim	0.0001	21.055480717289335	0.008799329167231917	0.6940905698219366	2.124129577591363	0.003990504192188382	0.13726328463228937
alexnet	cifar10	random	10	4	26	BN	sim	0.0001	19.215590395020524	0.014236078946851194	0.6675011095065727	2.6466861813003066	0.007999438696869214	0.09750777629545193
alexnet	cifar10	random	10	8	26	BN	sim	0.0001	17.323917224046447	0.019658024655655026	0.6018860288369332	1.4588764245115065	0.007224338101207541	0.12919217525989865
alexnet	cifar10	random	10	1	26	GC	sim	0.0001	23.275496295378616	0.004703816492110491	0.8453125746051471	0.0	0.0	0.0
alexnet	cifar10	random	10	8	26	GC	sim	0.0001	17.662127367893085	0.017735729343257844	0.6620217586678983	1.1539479477753587	0.004677487848694215	0.1239263977361021
alexnet	cifar10	random	10	2	26	GC	sim	0.0001	22.106964363994457	0.0067309916485100985	0.7270001520216465	1.8626372120629249	0.0027219566982239485	0.1284810563094086
alexnet	cifar10	random	10	4	26	GC	sim	0.0001	19.899967386713882	0.010411056224256754	0.7015909642882696	0.8250415944744868	0.0018491101128952252	0.08456317174874854
resnet	imagenet	random	10	4	26	LBFGS	sim	0.0001	11.984621070372897	0.0776704540476203	0.5119846789748608	2.7694342895775645	0.050673172730406835	0.0767701022513801
resnet	imagenet	random	10	8	26	LBFGS	sim	0.0001	11.033977798313046	0.08892206754535437	0.46322514035921963	2.2326089698444407	0.04136623478669602	0.10355052579708146
resnet	imagenet	random	10	1	0	GC	sim	0.0001	4.244000832604932	0.37635692954063416	0.22493183323643745	0.0	0.0	0.0
resnet	imagenet	random	10	2	0	GC	sim	0.0001	7.3829487870217525	0.18282295018434525	0.21519661589696853	0.16818913996984985	0.007076643407344818	0.017614584680062925
resnet	imagenet	random	10	4	0	GC	sim	0.0001	6.464611028542853	0.238627091050148	0.20780479464742324	1.5198484904801146	0.07279342837939563	0.05457443626411546
resnet	imagenet	random	10	8	0	GC	sim	0.0001	5.156972045343231	0.3226371482014656	0.16752559421684943	1.435164875564487	0.11129549522220196	0.10591025334446083
resnet	imagenet	random	2	4	0	LBFGS	sim	0.0001	9.834358196254327	0.10389839	0.20864345508624543	0.06223748328368408	0.0014908795	0.012084482389745745
alexnet	cifar10	random	10	32	0	BN	sim	0.0001	15.772456708507793	0.028264884	-0.10770776035428405	1.662721194804764	0.009361673	0.13154504866468802
resnet	imagenet	random	10	1	0	LBFGS	sim	0.0001	20.471722592364124	0.008970729	0.8279825332507704	0.0	0.0	0.0
resnet	imagenet	random	10	2	0	LBFGS	sim	0.0001	19.713026541883664	0.010687452	0.3515780677904907	0.1239386676164127	0.000304915	0.003234128380516288
resnet	imagenet	random	10	4	0	LBFGS	sim	0.0001	13.543696283752928	0.045438	0.3760485475876404	1.053244277513408	0.009769897	0.0631363212494382
resnet	imagenet	random	10	8	0	LBFGS	sim	0.0001	14.4033910639174	0.03664494	0.359454442114225	0.6192154748542472	0.0051210723	0.03992292508716812
resnet	imagenet	random	10	1	0	GC	sim	0.0001	8.351652475702325	0.1461621	0.34044803768365606	0.0	0.0	0.0
resnet	imagenet	random	10	2	0	GC	sim	0.0001	13.512670143330396	0.044578	0.35741686430738356	0.1835080644792333	0.0018824916	0.028160602441336058
resnet	imagenet	random	10	4	0	GC	sim	0.0001	11.217722879268184	0.07576455	0.30460362821119796	0.32488011852636145	0.0058300328	0.00991015305836363
