model	dataset	trained	restarts	bs	target_id	optim	cost_fn	tv	psnr_mean	mse_mean	ssim_mean	psnr_std	mse_std	ssim_std
alexnet	cifar10	random	1	1	0	LBFGS	sim	0.0001	15.731310860662422	0.026721997	0.6502260191904174	0.0	0.0	0.0
alexnet	cifar10	random	1	2	0	LBFGS	sim	0.0001	15.085934074658697	0.033932667	0.07303592200883738	1.8733889916793895	0.013792285	0.014807096367573346
alexnet	cifar10	random	1	4	0	LBFGS	sim	0.0001	14.959101086287221	0.037324466	0.0625815259713737	2.6167412813783115	0.01804133	0.038485516599355576
alexnet	cifar10	random	1	8	0	LBFGS	sim	0.0001	13.123248786777445	0.05510062	-0.007883838698823841	2.2788572623816528	0.024275184	0.044136242284591114
alexnet	cifar10	random	1	16	0	LBFGS	sim	0.0001	13.256505063989309	0.05004742	-0.05046464938520463	1.518629613926522	0.016303565	0.09069828798104461
alexnet	cifar10	random	1	32	0	LBFGS	sim	0.0001	12.671944578839422	0.05539094	-0.03717671177498891	0.9865437900295155	0.011890287	0.05957382255710399
alexnet	cifar10	random	1	64	0	LBFGS	sim	0.0001	12.145864655309895	0.06341611	-0.045899903073484793	1.2174395765343962	0.0176373	0.053928995163486614
alexnet	cifar10	random	1	128	0	LBFGS	sim	0.0001	11.740466589285319	0.06959204	-0.0242552945015966	1.1830374759198425	0.020603629	0.04071350541517694
alexnet	cifar10	random	1	1	0	geiping	sim	0.0001	36.07752747746946	0.00024674437	0.9960091631280051	0.0	0.0	0.0
alexnet	cifar10	random	1	2	0	geiping	sim	0.0001	26.868851456791262	0.002062879	0.05615021094957279	0.3437404552492591	0.00016293506	0.006571216028410164
alexnet	cifar10	random	1	4	0	geiping	sim	0.0001	22.52329368878528	0.0056944047	0.09861941814915756	0.8190460515279304	0.0010838233	0.026519856785761138
alexnet	cifar10	random	1	8	0	geiping	sim	0.0001	15.975009955524696	0.03088171	-0.019591279009597617	2.6305279263836754	0.020967301	0.0578993441471732
alexnet	cifar10	random	1	32	0	geiping	sim	0.0001	13.899608796139027	0.042011403	-0.07196144717590644	1.1063219522705465	0.009960269	0.09799189935837396
alexnet	cifar10	random	1	64	0	geiping	sim	0.0001	13.751914694215953	0.043944642	-0.07884923544082094	1.2853765407394984	0.012263094	0.07204275216582882
alexnet	cifar10	random	1	128	0	geiping	sim	0.0001	14.238546853104278	0.03957048	-0.0681521013984903	1.3798322125825506	0.012211398	0.06984131813124606
alexnet	cifar10	random	1	16	0	geiping	sim	0.0001	14.288346172641821	0.04044903	-0.06146577119998407	1.8525012850776363	0.015116495	0.11713052519754757
alexnet	cifar10	random	10	1	0	BN	sim	0.0001	19.717537947913147	0.01067201	0.8507343521383074	0.0	0.0	0.0
alexnet	cifar10	random	10	2	0	BN	sim	0.0001	17.511639912439954	0.019916754	0.1342558151774089	2.132603059361503	0.009063107	0.06048659213965745
alexnet	cifar10	random	10	4	0	BN	sim	0.0001	17.346571570155803	0.024113422	0.05458976462479768	3.363120022801894	0.01622312	0.0769335945475214
alexnet	cifar10	random	10	8	0	BN	sim	0.0001	16.422451210089662	0.027228853	-0.05836208616410027	2.830000082133691	0.013925896	0.060650413638066954
alexnet	cifar10	random	10	16	0	BN	sim	0.0001	15.263919164643342	0.035061732	-0.12442991919191124	2.9440320554877157	0.015535822	0.15116383411960505
alexnet	cifar10	random	10	16	0	BN	sim	0.0001	15.795517921929559	0.031991288	-0.19669035877763755	2.9601344845281843	0.018375548	0.1553451362464254
alexnet	cifar10	random	10	32	0	BN	sim	0.0001	15.68009673958443	0.030027289	-0.1550706865774098	2.0915121265341616	0.012823861	0.1428068683795626
alexnet	cifar10	random	10	64	0	BN	sim	0.0001	16.396667106203175	0.025485095	-0.15807069261560125	2.0203901161647626	0.011732255	0.13389220841109475
alexnet	cifar10	random	10	128	0	BN	sim	0.0001	16.54935563388218	0.024294175	-0.1322557492965213	1.8413382021595461	0.011040624	0.11860270308496922
alexnet	cifar10	random	10	2	0	GC	sim	0.0001	17.89329533895642	0.017401505	0.07456882417739003	1.6305551924152777	0.00624277	0.016856140243926346
alexnet	cifar10	random	10	1	0	GC	sim	0.0001	19.853657814313856	0.010342707	0.859930986099773	0.0	0.0	0.0
alexnet	cifar10	random	10	4	0	GC	sim	0.0001	16.718886081440942	0.027640475	0.1238630382799541	3.3235208830364584	0.017468276	0.035554275253808325
alexnet	cifar10	random	10	8	0	GC	sim	0.0001	16.435926907767655	0.026266348	-0.0030775387045400768	2.439856309577693	0.013382148	0.07742262256869664
alexnet	cifar10	random	10	16	0	GC	sim	0.0001	16.476687038619133	0.025898976	-0.08840872986572898	2.623319475269212	0.011025463	0.1375844408883382
alexnet	cifar10	random	10	32	0	GC	sim	0.0001	16.927145168899557	0.023645706	-0.10372778765681069	2.423964390189761	0.015164064	0.13081434710907566
alexnet	cifar10	random	10	64	0	GC	sim	0.0001	17.792890201341017	0.020257054	-0.07648938038170164	2.6100321533501285	0.01595337	0.07437823399860506
