model	dataset	trained	accumulation	restarts	OPTIM	cost_fn	indices	weights	scoring	init	tv	rec_loss	psnr	test_mse	feat_mse	target_id	seed	timing	dtype	epochs	val_acc	gt_img
resnet	imagenet	True	0	1	ours	sim	def	equal	loss	randn	0.0001	0.9753788113594055	9.558542251586914	2.1364946365356445	9.92013168334961	11	1234	0:11:23.956850	torch.float32	120		ground_truth-0.png
resnet	imagenet	True	0	1	ours	sim	def	equal	loss	randn	0.0001	0.1947387456893921	7.846621513366699	3.168792963027954	1.382855772972107	11	1234	0:03:18.443512	torch.float32	120		ground_truth-0.png
resnet	imagenet	True	0	1	ours	sim	def	equal	loss	randn	0.0001	0.16687458753585815	8.530342102050781	2.7072083950042725	1.2926782369613647	11	1234	0:01:46.855504	torch.float32	120		ground_truth-0.png
resnet	imagenet	True	0	1	ours	sim	def	equal	loss	randn	0.0001	0.19132810831069946	7.8880934715271	3.138676881790161	2.035674810409546	11	1234	0:03:39.820340	torch.float32	120		ground_truth-0.png
resnet	imagenet	True	0	1	ours	sim	def	equal	loss	randn	0.0001	0.1954946517944336	7.804716110229492	3.1995162963867188	1.2477158308029175	11	1234	0:10:17.385448	torch.float32	120		ground_truth-0.png
resnet	imagenet	True	0	1	ours	sim	def	equal	loss	randn	0.0001	0.14946329593658447	8.976668357849121	2.4428069591522217	0.5048938393592834	11	1234	0:01:25.452460	torch.float32	120		ground_truth-0.png
resnet	imagenet	True	0	1	ours	sim	def	equal	loss	randn	0.0001	0.1960301399230957	8.212538719177246	2.9127423763275146	3.614938497543335	11	1234	0:02:00.593637	torch.float32	120		ground_truth-0.png
resnet	imagenet	True	0	1	ours	sim	def	equal	loss	randn	0.0001	0.20121926069259644	7.971837997436523	3.0787339210510254	1.3519484996795654	11	1234	0:02:11.193008	torch.float32	120		ground_truth-0.png
resnet	imagenet	True	0	1	ours	sim	def	equal	loss	randn	0.0001	0.21215343475341797	7.807050704956055	3.1977970600128174	1.7670872211456299	11	1234	0:02:39.785642	torch.float32	120		ground_truth-0.png
resnet	imagenet	True	0	1	ours	sim	def	equal	loss	randn	0.0001	0.12648481130599976	8.694438934326172	2.6068263053894043	0.3148293197154999	11	1234	0:01:09.177151	torch.float32	120		ground_truth-0.png
resnet	imagenet	True	0	1	ours	sim	def	equal	loss	randn	0.0001	0.9492311477661133	9.55380916595459	2.138823986053467	11.75212574005127	11	1234	0:01:11.669182	torch.float32	120		ground_truth-0.png
resnet	imagenet	True	0	1	ours	sim	def	equal	loss	randn	0.0001	0.9661811590194702	9.541454315185547	2.1449172496795654	10.278847694396973	11	1234	0:00:58.728847	torch.float32	120		ground_truth-0.png
resnet	imagenet	True	0	1	ours	sim	def	equal	loss	randn	0.0001	0.9580039381980896	9.542696952819824	2.144303560256958	10.259672164916992	11	1234	0:00:50.321809	torch.float32	120		ground_truth-0.png
