model	dataset	trained	restarts	bs	target_id	optim	cost_fn	tv	psnr_mean	mse_mean	ssim_mean	psnr_std	mse_std	ssim_std
lenet	mnist	random	1	16	0	LBFGS	sim	0.0001	13.410373051930911	0.04877627	0.017237724528666957	1.630957512054512	0.017584203	0.017757511485039693
lenet	mnist	random	1	32	0	LBFGS	sim	0.0001	12.744826711627216	0.055340745	0.018106823675718628	1.2228855885397851	0.01612358	0.020179794113661463
lenet	mnist	random	1	64	0	LBFGS	sim	0.0001	12.49456778180317	0.06289157	0.019945919149062647	1.8207724936697434	0.03956118	0.01558927967368621
lenet	mnist	random	1	128	0	LBFGS	sim	0.0001	11.6724082882626	0.07656499	0.011542760243557576	2.0549480658846995	0.03985779	0.010863155097247189
lenet	mnist	random	1	1	0	LBFGS	sim	0.0001	15.731478875217775	0.026720963	0.6277279267094494	0.0	0.0	0.0
lenet	mnist	random	1	8	0	LBFGS	sim	0.0001	12.440253744550608	0.059519164	-0.007400764157740591	1.3444068407809686	0.015799258	0.025082130521170722
lenet	mnist	random	1	4	0	LBFGS	sim	0.0001	13.333567388905236	0.048105516	0.01886498954514898	1.2050782783405591	0.011985182	0.012681956933706336
lenet	mnist	random	1	2	0	LBFGS	sim	0.0001	14.733169267739733	0.033895444	0.2060365558733364	0.5487962869694138	0.0042605447	0.0037293839450585897
lenet	mnist	random	10	8	0	geiping	sim	0.0001	9.660138005983162	0.110754326	-0.009295089480216977	0.9443040895979444	0.024468342	0.02240898991487931
lenet	mnist	random	10	4	0	geiping	sim	0.0001	13.105088610952546	0.049645733	0.012901884388870005	0.7382313844082904	0.008670535	0.016883758909705098
lenet	mnist	random	10	1	0	geiping	sim	0.0001	11.040889673193222	0.07868846	0.44526825297849004	0.0	0.0	0.0
lenet	mnist	random	10	2	0	geiping	sim	0.0001	9.24107510890537	0.11931123	0.1551680224840014	0.2618385025077776	0.007184636	0.027273276207525732
lenet	mnist	random	10	16	0	geiping	sim	0.0001	9.848122574491988	0.11026166	-0.02197545443780087	1.5720426590626737	0.03816932	0.019676360397915222
lenet	mnist	random	10	32	0	geiping	sim	0.0001	10.344235341673846	0.10374984	-0.028311531451602822	2.0863406023112177	0.051144496	0.026649235095307318
lenet	mnist	random	10	64	0	geiping	sim	0.0001	9.152716664974413	0.1290696	-0.0330511365123245	1.5282375602383522	0.04363977	0.01728457789599134
lenet	mnist	random	10	128	0	geiping	sim	0.0001	11.159963748078763	0.084634446	-0.04099484378738094	1.9421692595715625	0.038997356	0.028317448449431647
lenet	mnist	random	10	2	0	BN	sim	0.0001	9.390647530455336	0.11768733	0.1159263999641192	0.9258250290487853	0.024715211	0.0026157049525548093
lenet	mnist	random	10	4	0	BN	sim	0.0001	11.259671613840359	0.07580719	0.011068157100427082	0.7039645732333787	0.012172518	0.010582428977429406
lenet	mnist	random	10	1	0	BN	sim	0.0001	10.985062338774856	0.079706505	0.318813765816937	0.0	0.0	0.0
lenet	mnist	random	10	8	0	BN	sim	0.0001	9.558287103554544	0.11699495	0.0057164549741956115	1.5015496864055344	0.035958085	0.010419435557582178
lenet	mnist	random	10	16	0	BN	sim	0.0001	12.50472256907694	0.062235475	0.04780343405607665	1.8651619971773448	0.03431835	0.03420841501755298
lenet	mnist	random	10	32	0	BN	sim	0.0001	11.90682031875682	0.07415266	0.015214524059338368	2.0665156804596942	0.048363667	0.017121771677261165
lenet	mnist	random	10	64	0	BN	sim	0.0001	10.62034458940407	0.104628354	-0.005044706737025723	2.4729653975735157	0.076233804	0.024867481535506043
lenet	mnist	random	10	128	0	BN	sim	0.0001	12.54203522917247	0.06470294	-0.022948654954720163	2.201576417165459	0.044612758	0.032655045165465794
lenet	mnist	random	10	1	0	GC	sim	0.0001	10.012188280960533	0.09971975	0.059633502754366435	0.0	0.0	0.0
lenet	mnist	random	10	4	0	GC	sim	0.0001	13.336636221347852	0.0516342	0.012834519096265207	2.205446916433466	0.019880949	0.02781102574493183
lenet	mnist	random	10	8	0	GC	sim	0.0001	11.871817699114448	0.06528488	0.017494784456567256	0.414696425582336	0.0063056904	0.023265433791000996
