model	dataset	trained	restarts	bs	target_id	optim	cost_fn	tv	psnr_mean	mse_mean	ssim_mean	psnr_std	mse_std	ssim_std
resnet	imagenet	random	1	1	0	LBFGS	sim	0.0001	16.680687047307078	0.021474907	0.6592431453168569	0.0	0.0	0.0
resnet	imagenet	random	1	1	0	LBFGS	sim	0.0001	14.71317495543095	0.033781778	0.49827395015030096	0.0	0.0	0.0
resnet	imagenet	random	1	2	0	LBFGS	sim	0.0001	14.177226328366636	0.038554918	0.5773033286660703	0.5755334467145126	0.005079653	0.006340552945658939
resnet	imagenet	random	1	4	0	LBFGS	sim	0.0001	11.85971207435179	0.07253481	0.5056606700961279	2.1072505737633462	0.030623224	0.213939847490353
resnet	imagenet	random	1	8	0	LBFGS	sim	0.0001	13.388736394712238	0.052971054	0.5105681595107691	2.6107357962094224	0.023323877	0.24449924081376267
resnet	imagenet	random	1	16	0	LBFGS	sim	0.0001	12.861809240816804	0.05317072	0.43069680232335683	1.0421248675514754	0.011885005	0.1290754548550537
resnet	imagenet	random	1	32	0	LBFGS	sim	0.0001	13.030792914837336	0.050765987	0.49827971536670757	0.9203914617668746	0.009136999	0.104307207592403
resnet	imagenet	random	1	64	0	LBFGS	sim	0.0001	14.67652235025729	0.034468032	0.5131933903825707	0.6572191021060886	0.005392065	0.07588781739162972
resnet	imagenet	random	1	80	0	LBFGS	sim	0.0001	15.62052536679452	0.028042674	0.5115687229755969	0.9301889755319067	0.0059760194	0.07399754998426135
resnet	imagenet	random	10	1	0	geiping	sim	0.0001	13.272593390278525	0.047069617	0.49055431676726824	0.0	0.0	0.0
resnet	imagenet	random	10	2	0	geiping	sim	0.0001	10.786526134025962	0.08380993	0.33817585339990486	0.41165834507070986	0.007920455	0.03656356077388559
resnet	imagenet	random	10	4	0	geiping	sim	0.0001	9.303796994906797	0.11923789	0.11886777552923346	0.781172812908482	0.020397468	0.022342830713952478
resnet	imagenet	random	10	8	0	geiping	sim	0.0001	11.566716103665257	0.07221569	0.23728796247375547	1.1674539308669531	0.019143455	0.15022931960877747
resnet	imagenet	random	10	1	0	LBFGS	sim	0.0001	23.227698575071408	0.004755872	0.9145965808430977	0.0	0.0	0.0
resnet	imagenet	random	10	2	0	LBFGS	sim	0.0001	22.186101652860238	0.006139906	0.8696769017693855	0.768936294924508	0.0010758769	0.04069230007563529
resnet	imagenet	random	10	4	0	LBFGS	sim	0.0001	19.50246301501271	0.013521471	0.709023254038503	2.5932431136709457	0.008609649	0.10425376913317654
resnet	imagenet	random	10	8	0	LBFGS	sim	0.0001	17.231809212382295	0.023731895	0.6300937384450583	2.9741821563027773	0.015758904	0.17122273798298002
resnet	imagenet	random	10	16	0	LBFGS	sim	0.0001	16.370223638340512	0.026766911	0.5917968368916867	2.5170048902722173	0.013469715	0.16963830678516723
resnet	imagenet	random	10	32	0	LBFGS	sim	0.0001	13.270499997823528	0.04955335	0.4873155199613453	1.4419839331976516	0.01487799	0.11826096390069438
resnet	imagenet	random	10	64	0	LBFGS	sim	0.0001	13.161212163875591	0.05392153	0.42225927845930156	1.868355466658749	0.032135736	0.10146240538630968
resnet	imagenet	random	10	80	0	LBFGS	sim	0.0001	11.99193636167715	0.06700871	0.4058653561211793	1.4284499397584685	0.025041284	0.09969953927647054
resnet	imagenet	random	10	1	0	GC	sim	0.0001	5.4492799871084845	0.2851491	0.028717642873218735	0.0	0.0	0.0
resnet	imagenet	random	10	2	0	GC	sim	0.0001	11.209551140137233	0.07589626	0.38279843170272865	0.31968307766921455	0.0055766366	0.015351440264364163
resnet	imagenet	random	10	4	0	GC	sim	0.0001	10.80299052078765	0.091666676	0.3246068548808205	2.035598646748821	0.036299977	0.03997898964291068
resnet	imagenet	random	10	8	0	GC	sim	0.0001	11.699891457399062	0.07224423	0.4261950389420366	1.524864671874801	0.028364927	0.07958824746308224
resnet	imagenet	random	10	16	0	GC	sim	0.0001	12.44676745675893	0.059743397	0.3741625286799948	1.4248696630781357	0.016902415	0.08283731322328787
resnet	imagenet	random	10	32	0	GC	sim	0.0001	14.01140734470603	0.040510118	0.4055318720536127	0.8772814750187163	0.008042835	0.09235462816166963
resnet	imagenet	random	10	64	0	GC	sim	0.0001	12.59740861623232	0.056022134	0.45220058174268624	0.8266459639754751	0.011169618	0.13404587699542164
resnet	imagenet	random	10	80	0	GC	sim	0.0001	14.417679806948836	0.03661707	0.3962449516055369	0.6899444388772397	0.005786207	0.09659684170024731
resnet	imagenet	random	10	1	0	BN	sim	0.0001	13.172827026637401	0.048163418	0.21787086083563556	0.0	0.0	0.0
resnet	imagenet	random	10	2	0	BN	sim	0.0001	11.554728557288179	0.06992805	0.15177725471202033	0.1039101521408714	0.0016727932	0.03750660460214158
resnet	imagenet	random	10	4	0	BN	sim	0.0001	10.14092818877611	0.09697488	0.25486545107153663	0.2575630144037056	0.0056200656	0.057709090166494725
